date,pm25_mean,pm25_min,pm25_max,n_measurements
2023-01-03,6.7,6.5,6.9,2
2023-01-06,9.625,8.2,11.2,4
2023-01-09,20.25,20.0,20.5,2
2023-01-12,11.225,10.7,11.6,4
2023-01-15,7.85,7.8,7.9,2
2023-01-18,5.449999999999999,3.9,6.7,4
2023-01-21,6.65,5.8,7.5,2
2023-01-24,14.575,12.4,16.9,4
2023-01-27,6.9,6.5,7.3,2
2023-01-30,6.3,5.1,7.3,4
2023-02-02,11.95,10.5,13.4,2
2023-02-05,11.325,10.8,11.7,4
2023-02-08,18.75,18.6,18.9,2
2023-02-11,6.033333333333334,5.7,6.5,3
2023-02-14,5.7,5.5,5.9,2
2023-02-17,3.425,3.1,3.7,4
2023-02-20,12.2,12.1,12.3,2
2023-02-23,5.8,5.2,6.3,4
2023-02-26,13.7,10.5,16.9,2
2023-03-01,9.166666666666666,8.5,10.0,3
2023-03-02,2.8,2.8,2.8,1
2023-03-04,16.1,14.7,17.5,2
2023-03-07,3.15,2.8,3.5,4
2023-03-10,3.3,3.3,3.3,1
2023-03-13,4.175,2.8,5.6,4
2023-03-16,10.8,10.1,11.5,2
2023-03-19,4.65,3.9,5.2,4
2023-03-22,14.8,14.8,14.8,1
2023-03-24,6.8,6.8,6.8,1
2023-03-25,4.625,4.3,5.2,4
2023-03-28,11.7,10.5,12.9,2
2023-03-31,10.75,9.1,11.5,4
2023-04-03,5.5,5.3,5.7,2
2023-04-04,10.1,10.1,10.1,1
2023-04-06,4.25,3.6,4.8,4
2023-04-09,12.8,12.8,12.8,2
2023-04-12,12.125,9.8,16.4,4
2023-04-15,11.1,10.7,11.5,2
2023-04-18,7.866666666666667,5.8,11.4,3
2023-04-20,8.7,8.7,8.7,1
2023-04-21,5.45,3.9,7.0,2
2023-04-24,8.25,7.0,10.1,4
2023-04-27,9.75,9.5,10.0,2
2023-04-30,1.9,1.5,2.4,4
2023-05-03,4.0,4.0,4.0,1
2023-05-06,9.575000000000001,8.4,11.2,4
2023-05-07,14.3,14.3,14.3,1
2023-05-09,5.45,4.9,6.0,2
2023-05-12,18.200000000000003,16.1,19.4,4
2023-05-15,5.75,4.8,6.7,2
2023-05-18,7.75,7.0,8.6,4
2023-05-21,9.3,8.6,10.0,2
2023-05-24,10.2,8.8,12.2,4
2023-05-27,6.4,5.8,7.0,2
2023-05-30,12.95,11.3,13.9,4
2023-06-02,12.75,12.1,13.4,2
2023-06-05,17.674999999999997,15.8,19.5,4
2023-06-08,16.05,15.4,16.7,2
2023-06-11,4.95,4.0,5.9,4
2023-06-14,10.85,10.5,11.2,2
2023-06-17,23.575,22.0,24.9,4
2023-06-20,17.95,17.9,18.0,2
2023-06-23,23.3,22.8,23.8,4
2023-06-26,29.75,29.0,30.5,2
2023-06-29,49.26666666666667,45.7,54.3,3
2023-07-02,9.3,6.3,12.3,2
2023-07-05,14.350000000000001,12.2,16.1,4
2023-07-08,7.25,7.1,7.4,2
2023-07-11,7.95,7.3,9.2,4
2023-07-14,6.65,5.8,7.5,2
2023-07-17,16.95,15.3,19.2,4
2023-07-20,10.55,9.3,11.8,2
2023-07-23,11.25,10.6,11.7,4
2023-07-26,19.15,19.0,19.3,2
2023-07-29,5.275,4.7,5.6,4
2023-08-01,10.2,10.2,10.2,2
2023-08-04,12.125,7.7,14.2,4
2023-08-07,10.6,7.0,14.2,2
2023-08-10,14.6,13.5,15.1,4
2023-08-13,4.55,4.3,4.8,2
2023-08-16,10.925,9.6,14.1,4
2023-08-19,14.75,14.4,15.1,2
2023-08-22,18.475,17.9,19.0,4
2023-08-25,4.0,3.8,4.2,2
2023-08-28,14.075000000000001,13.0,15.6,4
2023-08-31,5.95,5.7,6.2,2
2023-09-03,11.599999999999998,9.7,15.2,4
2023-09-06,11.75,10.6,12.9,2
2023-09-09,9.475,8.0,10.1,4
2023-09-12,6.1,6.1,6.1,2
2023-09-15,11.25,9.4,13.3,4
2023-09-18,4.9,4.6,5.2,2
2023-09-21,15.025,13.2,16.1,4
2023-09-24,9.6,9.2,10.0,2
2023-09-27,8.575,7.8,9.0,4
2023-09-30,10.8,10.3,11.3,2
2023-10-03,11.1,9.2,13.1,4
2023-10-06,5.15,4.5,5.8,2
2023-10-09,4.675,4.0,5.3,4
2023-10-12,9.350000000000001,8.3,10.4,2
2023-10-15,2.2750000000000004,1.8,2.6,4
2023-10-18,8.6,8.0,9.2,2
2023-10-21,7.8500000000000005,7.3,8.8,4
2023-10-24,10.65,10.5,10.8,2
2023-10-27,9.45,8.2,10.3,4
2023-10-30,6.2,5.7,6.7,2
2023-11-02,7.800000000000001,6.1,9.1,4
2023-11-05,18.3,16.6,20.0,2
2023-11-08,8.833333333333334,8.5,9.3,3
2023-11-11,9.4,8.5,10.3,2
2023-11-14,12.875,11.8,13.8,4
2023-11-15,16.0,16.0,16.0,1
2023-11-17,4.4,4.0,4.8,2
2023-11-20,5.9,4.3,7.5,4
2023-11-23,5.9,5.8,6.0,2
2023-11-26,12.075,11.3,13.2,4
2023-11-29,13.350000000000001,11.8,14.9,2
2023-12-02,4.05,3.1,5.6,4
2023-12-05,6.75,6.0,7.5,2
2023-12-08,8.7,7.4,9.7,4
2023-12-11,8.9,8.0,9.8,2
2023-12-14,12.95,12.4,13.5,4
2023-12-17,9.4,9.4,9.4,1
2023-12-19,6.0,6.0,6.0,1
2023-12-20,10.4,9.1,11.6,4
2023-12-23,16.450000000000003,14.8,18.1,2
2023-12-26,4.2749999999999995,3.7,5.3,4
2023-12-29,3.3,3.3,3.3,1
