date,temperature_2m_max,temperature_2m_min,wind_direction_10m_dominant,precipitation_sum,shortwave_radiation_sum,relative_humidity_2m_mean,wind_speed_10m_max
2023-01-01,8.5,0.6,227,3.3,7.02,92,17.1
2023-01-02,4.6,-0.4,35,0.3,4.73,97,18.1
2023-01-03,12.7,4.2,112,13.1,2.13,98,23.6
2023-01-04,7.2,0.2,232,0.0,3.29,86,23.0
2023-01-05,0.9,-0.4,240,1.3,2.61,84,21.3
2023-01-06,0.9,-3.7,264,0.0,5.71,79,18.5
2023-01-07,0.7,-3.3,1,0.0,5.11,81,15.3
2023-01-08,1.5,-3.9,257,0.0,4.69,84,13.0
2023-01-09,5.7,-4.9,215,0.0,8.79,80,20.2
2023-01-10,8.0,0.7,191,0.4,8.51,87,19.4
2023-01-11,10.6,1.1,178,0.0,7.04,88,21.0
2023-01-12,6.4,1.4,351,0.3,2.64,87,37.9
2023-01-13,1.2,-2.6,348,0.6,2.92,74,35.7
2023-01-14,0.3,-5.6,227,0.0,8.85,72,16.6
2023-01-15,5.1,-3.7,166,0.0,7.99,69,30.5
2023-01-16,8.7,2.4,173,8.8,2.42,79,28.4
2023-01-17,8.4,2.4,255,0.0,3.15,82,34.1
2023-01-18,3.5,-0.0,52,9.1,4.85,86,38.2
2023-01-19,5.3,1.2,235,9.0,2.64,92,33.3
2023-01-20,1.4,-2.8,288,0.1,4.33,78,26.7
2023-01-21,2.5,-2.8,229,0.0,7.3,76,16.1
2023-01-22,0.8,-1.5,351,2.6,2.74,88,19.2
2023-01-23,-0.3,-5.8,258,0.0,8.91,76,28.7
2023-01-24,1.7,-3.4,226,0.0,6.44,83,21.5
2023-01-25,0.9,-1.1,13,9.3,3.11,93,21.4
2023-01-26,-1.0,-7.9,257,1.7,6.55,86,26.3
2023-01-27,2.9,-11.1,222,0.3,6.44,77,39.6
2023-01-28,-0.7,-9.1,41,2.4,3.97,78,24.2
2023-01-29,-0.6,-7.6,353,1.4,5.94,87,29.6
2023-01-30,-8.2,-16.7,315,0.9,10.12,65,23.5
2023-01-31,-10.3,-19.4,276,0.0,12.01,59,17.2
2023-02-01,-2.8,-17.2,225,0.0,12.39,57,23.7
2023-02-02,-0.2,-11.4,267,0.0,11.93,63,29.9
2023-02-03,-9.8,-17.9,309,0.0,12.74,47,30.5
2023-02-04,5.4,-10.3,202,0.0,11.57,48,33.4
2023-02-05,5.8,-3.3,251,0.0,11.62,75,30.8
2023-02-06,5.8,-5.7,159,0.0,11.33,77,37.8
2023-02-07,9.7,-1.8,242,0.0,11.08,77,40.3
2023-02-08,5.5,-4.4,158,0.0,9.54,79,14.2
2023-02-09,9.3,1.8,308,19.2,3.48,91,31.0
2023-02-10,3.1,-4.6,292,0.1,13.28,72,23.4
2023-02-11,7.0,-6.1,224,0.0,13.45,64,22.2
2023-02-12,10.0,-2.8,227,0.0,13.58,63,22.5
2023-02-13,9.8,0.5,262,0.0,13.7,64,22.5
2023-02-14,11.5,-0.1,171,3.0,7.03,72,45.7
2023-02-15,9.7,0.3,239,2.2,11.35,77,48.2
2023-02-16,1.9,-3.6,21,13.6,2.21,87,44.7
2023-02-17,-3.7,-7.7,306,0.2,15.31,72,38.7
2023-02-18,7.4,-5.6,214,0.0,13.31,59,27.8
2023-02-19,10.4,2.8,228,0.0,14.47,63,30.9
2023-02-20,3.8,-1.9,14,0.0,13.14,81,22.5
2023-02-21,3.3,-3.8,278,0.0,14.44,65,32.7
2023-02-22,1.9,0.1,66,31.0,1.85,85,36.1
2023-02-23,7.4,-4.3,261,0.1,11.58,77,37.6
2023-02-24,-2.6,-5.7,13,1.7,12.77,69,22.4
2023-02-25,4.0,-2.3,227,0.0,13.38,75,25.3
2023-02-26,6.8,-2.6,159,0.0,16.09,78,21.5
2023-02-27,14.7,2.7,191,19.1,6.94,81,38.2
2023-02-28,7.9,-0.1,77,0.0,14.66,79,21.9
2023-03-01,14.1,1.4,241,4.2,15.42,80,22.0
2023-03-02,3.1,0.1,17,0.0,11.64,82,21.4
2023-03-03,2.7,-0.5,35,6.5,3.41,91,36.8
2023-03-04,8.8,-2.3,252,0.8,12.99,85,20.2
2023-03-05,5.1,-2.5,80,0.3,16.73,85,29.8
2023-03-06,12.9,2.5,104,9.6,11.11,85,30.6
2023-03-07,4.2,1.6,29,0.0,17.72,76,30.4
2023-03-08,4.6,0.7,80,0.0,12.91,66,23.7
2023-03-09,3.1,1.0,75,7.6,6.78,78,26.8
2023-03-10,1.7,0.5,16,5.7,8.9,89,27.7
2023-03-11,3.5,0.8,57,2.7,10.65,83,22.7
2023-03-12,3.4,-2.2,188,3.0,5.48,85,21.8
2023-03-13,0.7,-3.1,321,1.2,9.48,75,43.3
2023-03-14,0.1,-6.8,345,0.0,19.5,73,19.1
2023-03-15,9.4,-5.3,189,0.0,17.64,64,27.3
2023-03-16,10.1,2.9,194,4.2,5.58,71,29.3
2023-03-17,9.8,-5.4,274,1.6,18.06,68,36.0
2023-03-18,-2.9,-10.5,283,0.0,18.3,46,35.4
2023-03-19,4.7,-7.3,250,0.0,20.56,44,27.2
2023-03-20,9.9,-2.2,214,0.0,17.21,43,35.7
2023-03-21,10.0,0.9,192,0.0,14.41,62,27.4
2023-03-22,13.2,3.6,181,2.5,10.37,88,24.3
2023-03-23,6.0,1.5,22,2.7,11.49,87,36.0
2023-03-24,4.6,1.1,53,3.0,13.61,80,27.8
2023-03-25,5.6,0.8,310,16.3,7.53,79,39.5
2023-03-26,5.8,-1.3,7,0.3,13.36,81,25.0
2023-03-27,4.4,-1.2,5,0.0,21.81,80,28.7
2023-03-28,9.0,-2.8,263,0.6,16.42,69,18.9
2023-03-29,4.7,-2.5,320,0.2,16.31,62,24.5
2023-03-30,9.6,-2.6,133,0.0,16.94,67,35.3
2023-03-31,20.4,9.7,204,11.8,14.83,75,43.9
2023-04-01,9.6,0.5,295,1.3,10.65,70,38.2
2023-04-02,11.4,-2.2,174,0.0,19.49,73,29.9
2023-04-03,12.4,4.6,70,8.9,13.69,75,28.3
2023-04-04,20.9,5.1,114,11.3,12.25,89,45.2
2023-04-05,22.2,3.4,229,18.0,15.26,73,43.8
2023-04-06,10.9,0.3,264,0.0,23.3,55,22.7
2023-04-07,6.0,1.9,52,0.0,23.49,72,18.4
2023-04-08,12.8,2.3,141,0.0,22.9,71,16.7
2023-04-09,17.7,3.5,164,0.0,23.68,59,17.2
2023-04-10,19.8,5.9,189,0.0,22.4,57,19.7
2023-04-11,23.2,8.6,231,0.0,21.18,58,27.6
2023-04-12,24.7,12.5,226,0.0,23.93,55,34.8
2023-04-13,25.7,10.6,206,0.0,24.21,50,22.0
2023-04-14,24.7,10.5,141,0.2,22.71,53,16.1
2023-04-15,26.7,16.1,188,4.1,19.59,58,26.5
2023-04-16,15.8,1.8,236,4.1,7.0,82,44.3
2023-04-17,5.5,0.1,282,2.3,8.65,65,41.3
2023-04-18,13.0,-0.7,278,0.0,25.91,66,22.7
2023-04-19,19.8,5.2,104,1.0,17.5,70,25.6
2023-04-20,25.8,10.1,197,5.0,18.15,69,41.0
2023-04-21,16.0,5.8,249,0.0,16.53,58,28.8
2023-04-22,7.6,2.6,265,1.9,15.42,63,30.4
2023-04-23,6.2,1.6,277,2.9,12.52,70,20.8
2023-04-24,9.8,0.6,209,0.2,22.17,61,21.2
2023-04-25,6.2,2.9,29,4.0,19.14,81,26.0
2023-04-26,6.7,2.8,53,0.0,25.09,74,19.6
2023-04-27,15.7,1.3,116,0.0,26.71,66,19.7
2023-04-28,10.3,4.7,33,0.0,11.87,73,18.4
2023-04-29,14.8,2.9,273,3.0,14.67,76,27.4
2023-04-30,8.9,3.4,277,3.1,14.53,77,34.0
2023-05-01,8.1,4.1,301,5.9,5.02,80,39.8
2023-05-02,11.5,4.3,322,0.4,10.83,65,33.0
2023-05-03,8.1,3.0,11,0.0,26.43,77,29.8
2023-05-04,17.9,2.7,155,0.0,26.93,67,25.7
2023-05-05,23.9,10.1,161,0.0,25.02,50,27.5
2023-05-06,24.7,12.3,155,0.8,14.09,65,27.7
2023-05-07,24.6,8.5,187,2.5,23.36,92,29.3
2023-05-08,14.3,7.3,20,9.8,4.97,95,25.3
2023-05-09,13.1,7.4,32,0.0,26.38,90,17.1
2023-05-10,18.6,6.7,83,0.0,27.15,83,15.0
2023-05-11,23.4,11.6,116,0.0,27.42,67,17.3
2023-05-12,19.6,13.7,99,19.0,9.69,90,16.5
2023-05-13,15.3,11.6,25,1.0,16.46,90,19.4
2023-05-14,13.7,10.0,50,0.0,7.46,78,26.0
2023-05-15,13.3,8.6,35,0.0,23.02,76,17.9
2023-05-16,25.2,8.3,309,0.0,25.66,65,27.6
2023-05-17,12.8,7.3,25,0.0,29.35,80,27.6
2023-05-18,19.1,6.9,136,0.0,28.97,56,24.1
2023-05-19,23.4,11.7,256,5.2,16.31,68,26.5
2023-05-20,18.2,8.9,4,0.0,28.26,68,22.6
2023-05-21,22.6,10.8,153,0.0,29.16,58,21.3
2023-05-22,22.8,11.9,92,0.0,28.36,57,24.6
2023-05-23,26.2,14.4,110,0.0,28.1,49,21.2
2023-05-24,15.8,9.4,17,0.0,28.51,70,31.7
2023-05-25,13.4,8.3,42,0.0,27.85,58,27.7
2023-05-26,17.1,8.7,39,0.0,30.36,61,24.7
2023-05-27,19.7,9.2,48,0.0,27.73,58,21.9
2023-05-28,22.3,11.4,41,0.0,28.4,56,19.4
2023-05-29,22.9,11.8,43,0.0,27.41,57,18.0
2023-05-30,26.2,14.2,47,0.0,24.03,54,17.9
2023-05-31,30.2,16.3,132,2.5,25.19,64,21.5
2023-06-01,30.2,18.2,112,0.0,27.43,66,23.5
2023-06-02,27.3,16.3,40,0.0,28.76,60,20.2
2023-06-03,25.6,15.8,20,0.0,28.91,66,25.3
2023-06-04,23.1,14.8,38,0.0,30.23,57,25.2
2023-06-05,25.1,12.7,39,0.0,26.55,60,18.3
2023-06-06,20.4,14.0,11,0.2,21.93,75,26.6
2023-06-07,19.0,13.3,18,0.0,30.27,71,27.8
2023-06-08,19.7,12.4,25,0.0,30.72,66,19.5
2023-06-09,23.4,12.9,86,0.0,30.09,52,21.1
2023-06-10,28.9,15.5,205,0.0,28.18,37,18.3
2023-06-11,17.1,11.0,5,4.4,10.7,84,40.3
2023-06-12,18.9,9.7,342,1.1,24.01,62,30.3
2023-06-13,19.4,12.8,294,10.8,10.47,76,29.8
